"","name"
"1","AlabamaA&MUniversity"
"2","UniversityofAlabamaatBirmingham"
"3","AmridgeUniversity"
"4","UniversityofAlabamainHuntsville"
"5","AlabamaStateUniversity"
"6","TheUniversityofAlabama"
"7","CentralAlabamaCommunityCollege"
"8","AthensStateUniversity"
"9","AuburnUniversityatMontgomery"
"10","AuburnUniversity"
"11","BirminghamSouthernCollege"
"12","ChattahoocheeValleyCommunityCollege"
"13","ConcordiaCollegeAlabama"
"14","SouthUniversity-Montgomery"
"15","EnterpriseStateCommunityCollege"
"16","JamesHFaulknerStateCommunityCollege"
"17","FaulknerUniversity"
"18","GadsdenStateCommunityCollege"
"19","NewBeginningCollegeofCosmetology"
"20","GeorgeCWallaceStateCommunityCollege-Dothan"
"21","GeorgeCWallaceStateCommunityCollege-Hanceville"
"22","GeorgeCWallaceStateCommunityCollege-Selma"
"23","HerzingUniversity-Birmingham"
"24","HuntingdonCollege"
"25","HeritageChristianUniversity"
"26","JFDrakeStateCommunityandTechnicalCollege"
"27","JacksonvilleStateUniversity"
"28","JeffersonDavisCommunityCollege"
"29","JeffersonStateCommunityCollege"
"30","JohnCCalhounStateCommunityCollege"
"31","JudsonCollege"
"32","LawsonStateCommunityCollege-BirminghamCampus"
"33","UniversityofWestAlabama"
"34","LurleenBWallaceCommunityCollege"
"35","MarionMilitaryInstitute"
"36","MilesCollege"
"37","UniversityofMobile"
"38","UniversityofMontevallo"
"39","Northwest-ShoalsCommunityCollege"
"40","UniversityofNorthAlabama"
"41","NortheastAlabamaCommunityCollege"
"42","OakwoodUniversity"
"43","AlabamaSouthernCommunityCollege"
"44","PrinceInstitute-Southeast"
"45","ReidStateTechnicalCollege"
"46","BishopStateCommunityCollege"
"47","SamfordUniversity"
"48","SelmaUniversity"
"49","SheltonStateCommunityCollege"
"50","SneadStateCommunityCollege"
"51","UniversityofSouthAlabama"
"52","SpringHillCollege"
"53","SoutheasternBibleCollege"
"54","StillmanCollege"
"55","TalladegaCollege"
"56","HCouncillTrenholmStateCommunityCollege"
"57","TroyUniversity"
"58","TuskegeeUniversity"
"59","UnitedStatesSportsAcademy"
"60","BevillStateCommunityCollege"
"61","UniversityofAlaskaAnchorage"
"62","AlaskaBibleCollege"
"63","UniversityofAlaskaFairbanks"
"64","UniversityofAlaskaSoutheast"
"65","AlaskaPacificUniversity"
"66","AVTEC-Alaska'sInstituteofTechnology"
"67","CharterCollege-Anchorage"
"68","PrinceWilliamSoundCommunityCollege"
"69","AlaskaCareerCollege"
"70","EverestCollege-Phoenix"
"71","CollinsCollege"
"72","EmpireBeautySchool-ParadiseValley"
"73","EmpireBeautySchool-Tucson"
"74","ThunderbirdSchoolofGlobalManagement"
"75","AmericanIndianCollegeInc"
"76","AmericanInstituteofTechnology"
"77","CarringtonCollege-Phoenix"
"78","CarringtonCollege-Mesa"
"79","CarringtonCollege-Tucson"
"80","CollegeAmerica-Flagstaff"
"81","ArizonaAcademyofBeauty-East"
"82","ArizonaAutomotiveInstitute"
"83","BrooklineCollege-Phoenix"
"84","ArizonaStateUniversity-Tempe"
"85","ArizonaWesternCollege"
"86","UniversityofArizona"
"87","SouthwestUniversityofVisualArts-Tucson"
"88","BrillareHairdressingAcademy"
"89","CentralArizonaCollege"
"90","BrownMackieCollege-Tucson"
"91","CharlesofItalyBeautyCollege"
"92","CochiseCountyCommunityCollegeDistrict"
"93","EmpireBeautySchool-Flagstaff"
"94","EmpireBeautySchool-Chandler"
"95","CortivaInstitute-Tucson"
"96","DeVryUniversity-Arizona"
"97","AvalonSchoolofCosmetology-Mesa"
"98","EasternArizonaCollege"
"99","Embry-RiddleAeronauticalUniversity-Prescott"
"100","FrankLloydWrightSchoolofArchitecture"
"101","GlendaleCommunityCollege"
"102","GrandCanyonUniversity"
"103","AnthemCollege-Phoenix"
"104","InternationalAcademyofHairDesign"
"105","KaplanCollege-Phoenix"
"106","GateWayCommunityCollege"
"107","MesaCommunityCollege"
"108","ITTTechnicalInstitute-Tucson"
"109","ITTTechnicalInstitute-Tempe"
"110","MohaveCommunityCollege"
"111","UniversalTechnicalInstituteofArizonaInc-MotorcycleMechanicsInstituteDivision"
"112","DineCollege"
"113","NorthernArizonaUniversity"
"114","NorthlandPioneerCollege"
"115","OttawaUniversity-Phoenix"
"116","PhoenixCollege"
"117","CortivaInstitute-Scottsdale"
"118","UniversityofPhoenix-PhoenixCampus"
"119","PimaCommunityCollege"
"120","PimaMedicalInstitute-Tucson"
"121","PimaMedicalInstitute-Albuquerque"
"122","PrescottCollege"
"123","RefrigerationSchoolInc"
"124","RioSaladoCollege"
"125","Roberto-VennSchoolofLuthiery"
"126","HairAcademyofSafford"
"127","ScottsdaleCommunityCollege"
"128","SouthMountainCommunityCollege"
"129","ArizonaChristianUniversity"
"130","TucsonCollege"
"131","UniversalTechnicalInstituteofArizonaInc"
"132","WesternInternationalUniversity"
"133","EmpireBeautySchool-NWPhoenix"
"134","YavapaiCollege"
"135","UniversityofArkansasatLittleRock"
"136","UniversityofArkansasforMedicalSciences"
"137","ABCBeautyCollegeInc"
"138","ArkansasBaptistCollege"
"139","ArkansasBeautySchool-LittleRock"
"140","ArkansasBeautyCollege"
"141","LyonCollege"
"142","ArkansasCollegeofBarberingandHairDesign"
"143","Arthur'sBeautyCollegeInc-FortSmith"
"144","UniversityofArkansas"
"145","UniversityofArkansasatPineBluff"
"146","ArkansasStateUniversity-Beebe"
"147","ArkansasStateUniversity-MainCampus"
"148","ArkansasTechUniversity"
"149","UniversityofArkansasatMonticello"
"150","Arthur'sBeautyCollegeInc-Jacksonville"
"151","BaptistHealthCollege-LittleRock"
"152","BlackRiverTechnicalCollege"
"153","UniversityofCentralArkansas"
"154","CentralBaptistCollege"
"155","CossatotCommunityCollegeoftheUniversityofArkansas"
"156","Crowley'sRidgeCollege"
"157","Crowley'sRidgeTechnicalInstitute"
"158","EastArkansasCommunityCollege"
"159","EasternCollegeofHealthVocations-LittleRock"
"160","Imagine-PaulMitchellPartnerSchool"
"161","NationalParkCommunityCollege"
"162","UniversityofArkansasCommunityCollege-Batesville"
"163","HardingUniversity"
"164","HendersonStateUniversity"
"165","HendrixCollege"
"166","HotSpringsBeautyCollege"
"167","JeffersonRegionalMedicalCenterSchoolofNursing"
"168","JohnBrownUniversity"
"169","LeesSchoolofCosmetology"
"170","CareerAcademyofHairDesign"
"171","MarshaKayBeautyCollege"
"172","AcademyofSalonandSpa"
"173","ArkansasStateUniversityMid-South"
"174","ArkansasNortheasternCollege"
"175","Margaret'sHairAcademyInc"
"176","NewTylerBarberCollegeInc"
"177","NorthArkansasCollege"
"178","NorthwestTechnicalInstitute"
"179","OuachitaBaptistUniversity"
"180","CollegeoftheOuachitas"
"181","OzarkaCollege"
"182","UniversityoftheOzarks"
"183","UniversityofArkansasCommunityCollege-Morrilton"
"184","PhilanderSmithCollege"
"185","PhillipsCommunityCollegeoftheUniversityofArkansas"
"186","SoutheastArkansasCollege"
"187","ProfessionalCosmetologyEducationCenter"
"188","PulaskiTechnicalCollege"
"189","UniversityofArkansasCommunityCollege-Hope"
"190","RichMountainCommunityCollege"
"191","PaulMitchelltheSchool-Arkansas"
"192","SearcyBeautyCollege"
"193","ShorterCollege"
"194","WilliamsBaptistCollege"
"195","SouthArkansasCommunityCollege"
"196","SouthernArkansasUniversityMainCampus"
"197","SouthernArkansasUniversityTech"
"198","VelvatexCollegeofBeautyCulture"
"199","UniversityofArkansas-FortSmith"
"200","AcademyofArtUniversity"
"201","ITTTechnicalInstitute-RanchoCordova"
"202","AcademyofChineseCultureandHealthSciences"
"203","TheAcademyofRadioandTVBroadcasting"
"204","AvalonSchoolofCosmetology-Alameda"
"205","CollegeofAlameda"
"206","AllanHancockCollege"
"207","AmericanAcademyofDramaticArts-LosAngeles"
"208","AmericanBaptistSeminaryoftheWest"
