"","name"
"1","HarvardUniversity"
"2","YaleUniversity"
"3","UniversityofTexasSystem"
"4","StanfordUniversity"
"5","PrincetonUniversity"
"6","MassachusettsInstituteofTechnology"
"7","TexasAMUniversitySystemandFoundationsi"
"8","UniversityofMichigan"
"9","ColumbiaUniversity"
"10","NorthwesternUniversity"
"11","UniversityofPennsylvania"
"12","UniversityofNotreDame"
"13","UniversityofChicago"
"14","UniversityofCalifornia"
"15","DukeUniversity"
"16","EmoryUniversity"
"17","WashingtonUniversityinStLouis"
"18","CornellUniversity"
"19","UniversityofVirginia"
"20","RiceUniversity"
"21","UniversityofSouthernCalifornia"
"22","DartmouthCollege"
"23","VanderbiltUniversity"
"24","OhioStateUniversity"
"25","JohnsHopkinsUniversity"
"26","UniversityofPittsburgh"
"27","PennsylvaniaStateUniversity"
"28","NewYorkUniversity"
"29","UniversityofMinnesotaFoundationsiii"
"30","BrownUniversity"
"31","UniversityofNorthCarolinaatChapelHillFoundations"
"32","UniversityofWashington"
"33","PurdueUniversity"
"34","UniversityofRichmond"
"35","UniversityofWisconsinFoundation"
"36","WilliamsCollege"
"37","UniversityofIllinois"
"38","CaliforniaInstituteofTechnology"
"39","AmherstCollege"
"40","PomonaCollege"
"41","BostonCollege"
"42","RockefellerUniversity"
"43","IndianaUniversityFoundation"
"44","UniversityofRochester"
"45","GeorgiaInstituteofTechnologyFoundations"
"46","CaseWesternReserveUniversity"
"47","MichiganStateUniversity"
"48","SwarthmoreCollege"
"49","UniversityofTorontoON"
"50","SmithCollege"
"51","GrinnellCollege"
"52","WellesleyCollege"
"53","UCLAFoundation"
"54","TuftsUniversity"
"55","GeorgeWashingtonUniversityDC"
"56","CarnegieMellonUniversity"
"57","BostonUniversity"
"58","UniversityofFloridaFoundationInc"
"59","WashingtonandLeeUniversity"
"60","UniversityofNebraska"
"61","VirginiaCommonwealthUniversityvi"
"62","UniversityofOklahoma"
"63","KansasUniversityEndowmentAssociation"
"64","GeorgetownUniversity"
"65","SouthernMethodistUniversity"
"66","UniversityofMissouriSystem"
"67","TexasChristianUniversity"
"68","UniversityofCaliforniaBerkeleyFoundation"
"69","YeshivaUniversity"
"70","UniversityofDelaware"
"71","UniversityofBritishColumbiaBC"
"72","LehighUniversity"
"73","UniversityofIowaFoundation"
"74","WakeForestUniversity"
"75","BaylorUniversity"
"76","McGillUniversityQC"
"77","UniversityofAlabamaSystem"
"78","SyracuseUniversity"
"79","TulaneUniversity"
"80","UniversityofCincinnati"
"81","BowdoinCollege"
"82","BereaCollege"
"83","TrinityUniversity"
"84","UniversityofKentucky"
"85","MiddleburyCollege"
"86","TexasTechUniversitySystem"
"87","SaintLouisUniversity"
"88","PrincetonTheologicalSeminary"
"89","UniversityofTennesseeSystem"
"90","UniversityofTulsa"
"91","UniversityofColoradoFoundation"
"92","BaylorCollegeofMedicine"
"93","VassarCollege"
"94","UniversitySystemofMarylandFoundationInc"
"95","CarnegieInstitutionofWashingtonDC"
"96","BerryCollegeInc"
"97","UniversityofAlbertaAB"
"98","UniversityofArkansasFayetteville"
"99","OklahomaStateUniversityFoundation"
"100","UniversityofLouisvilleFoundation"
"101","UniversityofGeorgiaFoundation"
"102","RutgerstheStateUniversityofNewJersey"
"103","UniversityofMiami"
"104","WashingtonStateUniversity"
"105","NorthCarolinaStateUniversityRelatedFoundations"
"106","BrandeisUniversity"
"107","ColgateUniversity"
"108","SantaClaraUniversity"
"109","UniversityofUtah"
"110","OberlinCollege"
"111","LouisianaStateUniversitySystem"
"112","LafayetteCollege"
"113","UniversityofHoustonSystemFoundations"
"114","PepperdineUniversity"
"115","BrynMawrCollege"
"116","HamiltonCollege"
"117","CarletonCollege"
"118","CollegeofWilliamandMaryFoundations"
"119","MacalesterCollege"
"120","DenisonUniversity"
"121","IowaStateUniversityFoundation"
"122","WesleyanUniversity"
"123","CooperUnion"
"124","RochesterInstituteofTechnology"
"125","BucknellUniversity"
"126","UniversityofMassachusettsFoundationInc"
"127","VirginiaTechFoundation"
"128","QueensUniversityON"
"129","ColbyCollege"
"130","LomaLindaUniversity"
"131","PrincipiaCorporation"
