NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
Unit ID for institution,root,id,integer,UNITID,,,IPEDS,
8-digit OPE ID for institution,root,ope8_id,integer,OPEID,,,IPEDS,
6-digit OPE ID for institution,root,ope6_id,integer,OPEID6,,,IPEDS,
Institution name,school,name,autocomplete,INSTNM,,,IPEDS,
State postcode,school,state,string,STABBR,,,IPEDS,
ZIP code,school,zip,integer,ZIP,,,IPEDS,
Predominant degree awarded (recoded 0s and 4s),school,degrees_awarded.predominant_recoded,integer,SCH_DEG,,,IPEDS/NSLDS,"Missing values, 0s, and 4s from PREDDEG recoded according to NSLDS program length"
Locale of institution,school,locale,integer,LOCALE,11,"City: Large (population of 250,000 or more)",IPEDS,
Latitude,root,location.lat,float,LATITUDE,,,IPEDS,
Longitude,root,location.lon,float,LONGITUDE,,,IPEDS,
Carnegie Classification -- undergraduate profile,school,carnegie_undergrad,integer,CCUGPROF,-2,Not applicable,IPEDS,
Flag for Historically Black College and University,school,minority_serving.historically_black,integer,HBCU,0,No,ED,
Flag for predominantly black institution,school,minority_serving.predominantly_black,integer,PBI,0,No,OPE,
Flag for women-only college,school,women_only,integer,WOMENONLY,0,No,IPEDS,
Admission rate,admissions,admission_rate.overall,float,ADM_RATE,,,IPEDS,
Enrollment of all undergraduate students,student,enrollment.all,integer,UG,,,IPEDS,Available in 2000-2001 datafile only
"Flag for currently operating institution, 0=closed, 1=operating",school,operating,integer,CURROPER,0,Not currently certified as an operating institution,FSA,
"Average net price for $0-$30,000 family income (public institutions)",cost,net_price.public.by_income_level.0-30000,integer,NPT41_PUB,,,IPEDS,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid, by detailed income category. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of five income categories. Average net price (NPT4_PUB, NPT4_PRIV) for each of the following five income categories: $0-$30,000; $30,001-$48,000; $48,001-$75,000; $75,001-$110,000; $110,001 or more. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. The total cost of attendance depends on whether undergraduates live on campus, off campus (not with family), or off campus (with family). Income categories are calculated from the income values used by the institution to calculate financial aid eligibility. For a dependent student, this includes the student's and the parents' income. For an independent student, this includes the student's adjusted gross income and, if the student is married, the spouse's income. This metric is not available prior to the 2009-10 academic year."
"Average net price for $30,001-$48,000 family income (public institutions)",cost,net_price.public.by_income_level.30001-48000,integer,NPT42_PUB,,,IPEDS,ibid
"Average net price for $48,001-$75,000 family income (public institutions)",cost,net_price.public.by_income_level.48001-75000,integer,NPT43_PUB,,,IPEDS,ibid
"Average net price for $75,001-$110,000 family income (public institutions)",cost,net_price.public.by_income_level.75001-110000,integer,NPT44_PUB,,,IPEDS,ibid
"Average net price for $110,000+ family income (public institutions)",cost,net_price.public.by_income_level.110001-plus,integer,NPT45_PUB,,,IPEDS,ibid
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.0-30000,integer,NPT41_PRIV,,,IPEDS,ibid
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.30001-48000,integer,NPT42_PRIV,,,IPEDS,ibid
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.48001-75000,integer,NPT43_PRIV,,,IPEDS,ibid
